date,0-15m,15-25m,25-50m,50-75m,>75m
28-Oct-13,0.4895,0.4855,0.4805,0.481,0.4755
16-Jan-14,0.5555,0.554,0.5525,0.5485,0.5415
25-Jun-14,0.4655,0.479,0.478,0.4815,0.485
4-Jul-14,0.484,0.484,0.486,0.4885,0.488
5-Aug-14,0.419,0.4355,0.438,0.4475,0.466
3-Jan-15,0.545,0.549,0.546,0.538,0.5365
12-Jan-15,0.596,0.5975,0.593,0.586,0.584
13-Feb-15,0.596,0.596,0.593,0.5905,0.584
31-Aug-15,0.443,0.4515,0.45,0.4525,0.459
25-Sep-15,0.4565,0.4535,0.45,0.4515,0.4505
11-Oct-15,0.4925,0.491,0.4835,0.4835,0.4805
12-Nov-15,0.496,0.5215,0.525,0.528,0.532
31-Jan-16,0.5295,0.5715,0.577,0.5755,0.5755
23-Jun-16,0.422,0.472,0.479,0.486,0.502
16-Jul-16,0.4145,0.4545,0.4655,0.4685,0.4745
25-Jul-16,0.4305,0.483,0.487,0.4935,0.5015
10-Aug-16,0.399,0.449,0.4545,0.4585,0.464
17-Aug-16,0.3785,0.426,0.4305,0.4375,0.443
11-Sep-16,0.4155,0.465,0.474,0.4795,0.4835
18-Sep-16,0.37,0.406,0.4135,0.42,0.4345
1-Jan-17,0.5545,0.5815,0.578,0.584,0.577
8-Jan-17,0.504,0.534,0.535,0.534,0.5375
6-Mar-17,0.55,0.5805,0.58,0.586,0.582
4-Aug-17,0.4115,0.436,0.438,0.438,0.4425
29-Aug-17,0.437,0.473,0.4725,0.4765,0.474
20-Jan-18,0.583,0.585,0.583,0.5835,0.5765
3-May-18,0.478,0.4935,0.4925,0.4895,0.5005
6-Jul-18,0.42,0.4395,0.447,0.4485,0.4635
